account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,Orders_per_Month,total_customer_spend,inactivity_risk_score,frustration_index,discount_hunter
46,164.96,12,17,0.243,0.172,0,0,6.1,0.43,5.0,6.58,9.43,3.7,0,1.2608695652173914,1979.52,2.3943661971830985,0.0,0.8991
3,39.09,4,5,0.591,0.0808,1,0,4.1,0.183,4.44,6.25,8.5,6.9,0,2.333333333333333,156.36,0.9803921568627452,0.008505263157894736,4.0779
29,37.42,8,47,0.212,0.1424,0,0,1.2,0.426,3.87,3.32,8.4,4.3,0,1.2758620689655173,299.36,21.363636363636363,0.0,0.9116
35,62.64,9,3,0.699,0.0128,0,0,3.8,0.73,4.75,6.42,9.71,7.5,0,1.2571428571428571,563.76,0.625,0.0,5.2425
39,113.03,1,7,0.382,0.0232,0,0,5.4,0.613,5.0,6.48,9.92,5.0,0,1.0256410256410255,113.03,1.09375,0.0,1.9100000000000001
18,62.28,5,13,0.565,0.0544,2,0,0.0,0.68,3.3,4.52,6.79,6.6,0,1.2777777777777777,311.4,13.0,0.013966623876765083,3.7289999999999996
20,25.01,6,9,0.225,0.0528,1,0,1.1,0.492,4.51,5.12,8.67,4.4,0,1.3,150.06,4.285714285714286,0.005460186142709411,0.9900000000000001
43,50.97,11,116,0.095,0.0296,1,0,5.8,0.314,3.99,2.3,8.22,3.4,1,1.255813953488372,560.67,17.058823529411764,0.003210412147505423,0.323
60,164.73,31,1,0.19,0.0048,0,0,1.9,0.551,3.33,6.62,8.31,3.3,0,1.5166666666666666,5106.63,0.3448275862068966,0.0,0.627
58,65.91,15,4,0.341,0.0288,1,0,2.3,0.383,2.82,6.07,7.06,5.0,0,1.2586206896551724,988.65,1.2121212121212122,0.0035732009925558317,1.705
23,117.67,6,7,0.109,0.0256,0,0,4.1,0.748,3.58,6.22,8.49,3.1,0,1.2608695652173914,706.02,1.3725490196078431,0.0,0.33790000000000003
34,60.3,1,86,0.446,0.016,2,0,4.3,0.886,3.6,2.17,7.21,5.8,1,1.0294117647058822,60.3,16.22641509433962,0.0038976857490864796,2.5867999999999998
33,56.52,1,4,0.178,0.0456,0,1,6.3,0.343,4.28,6.93,9.13,3.9,0,1.0303030303030303,56.52,0.547945205479452,0.0,0.6941999999999999
50,102.46,26,33,0.199,0.052,0,0,5.4,0.158,4.15,6.02,8.98,3.8,0,1.52,2663.96,5.15625,0.0,0.7562
48,52.29,1,46,0.195,0.0096,0,0,0.3,0.951,3.17,2.83,8.14,4.1,0,1.0208333333333333,52.29,35.38461538461539,0.0,0.7995
10,48.47,1,46,0.146,0.1008,1,0,3.5,0.469,3.53,3.9,7.53,3.7,0,1.1,48.47,10.222222222222221,0.011817116060961311,0.5402
33,124.55,1,89,0.149,0.028,2,0,2.1,0.589,3.83,1.28,7.4,3.3,1,1.0303030303030303,124.55,28.709677419354836,0.006666666666666666,0.49169999999999997
47,84.6,1,71,0.308,0.0136,0,0,2.4,0.778,3.74,2.28,8.69,4.6,1,1.0212765957446808,84.6,20.88235294117647,0.0,1.4167999999999998
33,77.63,17,85,0.235,0.0008,1,1,2.9,0.599,3.16,2.28,7.49,4.2,1,1.5151515151515151,1319.71,21.794871794871796,9.422850412249706e-05,0.987
48,98.26,25,20,0.133,0.1912,1,0,1.1,0.708,4.86,5.2,8.56,3.3,0,1.5208333333333335,2456.5,9.523809523809524,0.02,0.4389
26,171.12,7,5,0.277,0.0536,2,0,4.2,0.646,4.53,6.38,8.02,3.9,0,1.2692307692307692,1197.8400000000001,0.9615384615384615,0.011884700665188472,1.0803
20,52.05,1,22,0.146,0.1399999999999999,1,0,2.6,0.37,4.11,4.8,7.98,3.7,0,1.05,52.05,6.111111111111111,0.015590200445434287,0.5402
15,111.27,4,33,0.19,0.12,1,0,3.0,0.324,4.94,4.48,8.87,3.7,0,1.2666666666666666,445.08,8.25,0.0121580547112462,0.7030000000000001
37,49.54,19,66,0.648,0.188,0,0,2.6,0.42,5.0,3.2,9.37,7.2,1,1.5135135135135136,941.26,18.333333333333332,0.0,4.6656
33,208.56,1,45,0.397,0.0632,0,0,3.9,0.5,4.49,4.08,9.28,4.5,0,1.0303030303030303,208.56,9.183673469387754,0.0,1.7865000000000002
17,74.25,1,76,0.41,0.0496,2,0,0.3,0.809,3.42,1.33,6.92,5.4,1,1.0588235294117647,74.25,58.46153846153846,0.012525252525252524,2.214
5,106.94,1,94,0.405,0.0104,1,0,3.4,0.759,4.12,1.47,8.42,5.2,1,1.2,106.94,21.363636363636363,0.0011040339702760086,2.1060000000000003
50,81.62,26,15,0.307,0.1152,3,0,4.6,0.692,3.43,6.65,6.05,4.7,0,1.52,2122.12,2.678571428571429,0.049021276595744685,1.4429
56,58.56,15,8,0.396,0.0296,0,1,4.3,0.667,4.65,6.53,9.55,5.4,0,1.2678571428571428,878.4000000000001,1.509433962264151,0.0,2.1384000000000003
4,202.1,2,8,0.13,0.032,0,0,3.1,0.493,3.16,5.7,8.05,2.7,0,1.5,404.2,1.9512195121951221,0.0,0.35100000000000003
3,38.33,1,31,0.341,0.0736,0,0,6.2,0.668,3.98,5.55,8.73,5.2,0,1.3333333333333333,38.33,4.305555555555555,0.0,1.7732
21,55.92,6,23,0.1,0.124,0,0,4.8,0.633,3.5,5.65,8.09,3.4,0,1.2857142857142856,335.52,3.9655172413793105,0.0,0.34
40,308.43,31,5,0.267,0.0928,0,0,1.3,0.136,4.56,6.22,9.25,3.0,0,1.775,9561.33,2.173913043478261,0.0,0.801
3,45.29,1,28,0.152,0.1048,3,0,3.7,0.536,4.47,4.87,7.12,3.8,0,1.3333333333333333,45.29,5.957446808510638,0.038719211822660096,0.5776
21,26.16,16,1,0.151,0.0384,1,0,3.1,0.214,4.58,6.52,8.79,3.9,0,1.7619047619047619,418.56,0.24390243902439027,0.003922369765066394,0.5889
48,110.45,13,3,0.437,0.0624,0,0,5.5,0.533,4.27,7.12,9.06,5.4,0,1.2708333333333333,1435.8500000000001,0.46153846153846156,0.0,2.3598000000000003
57,74.55,15,49,0.072,0.0088,0,1,4.7,0.628,5.0,4.62,9.97,3.1,0,1.263157894736842,1118.25,8.596491228070175,0.0,0.22319999999999998
49,113.09,1,58,0.146,0.0208,0,0,4.0,0.81,4.89,3.47,9.82,3.3,0,1.0204081632653061,113.09,11.6,0.0,0.48179999999999995
8,59.46,1,41,0.15,0.1656,2,0,4.8,0.656,3.55,4.58,6.66,3.7,0,1.125,59.46,7.06896551724138,0.04323759791122715,0.555
